signature_id	signature_name	gene	weight
PDAC.GemPred20.Simple	Simple	AC083798.2	0.0253735426405045
PDAC.GemPred20.Simple	Simple	AC084824.1	0.00965432035850713
PDAC.GemPred20.Simple	Simple	AC084824.3	0.103730496687732
PDAC.GemPred20.Simple	Simple	AC084824.5	0.300107346844177
PDAC.GemPred20.Simple	Simple	AC084864.2	0.751283173955932
PDAC.GemPred20.Simple	Simple	AC087491.1	0.99138007209667
PDAC.GemPred20.Simple	Simple	AC087521.2	-0.0999477263664416
PDAC.GemPred20.Simple	Simple	AC090409.1	-0.0943131760476404
PDAC.GemPred20.Simple	Simple	AC091045.1	0.201190154039132
PDAC.GemPred20.Simple	Simple	AC091057.1	0.4637281059226
PDAC.GemPred20.Simple	Simple	AC091057.5	0.303489629816724
PDAC.GemPred20.Simple	Simple	AC091181.2	-2.15885845462543
PDAC.GemPred20.Simple	Simple	AC091551.1	1.66187129295551
PDAC.GemPred20.Simple	Simple	AC091982.3	-0.376333251000907
PDAC.GemPred20.Simple	Simple	AC092142.1	1.93105194988186
PDAC.GemPred20.Simple	Simple	AC092171.3	-0.00743790350516505
PDAC.GemPred20.Simple	Simple	AC092279.1	1.0109725201906
PDAC.GemPred20.Simple	Simple	AC092279.2	0.243722042222276
PDAC.GemPred20.Simple	Simple	AC092324.2	0.416622359445642
PDAC.GemPred20.Simple	Simple	AC092329.1	0.968278035385614
PDAC.GemPred20.Simple	Simple	AC092329.3	1.46154999424665
PDAC.GemPred20.Simple	Simple	AC092647.1	-0.622530495517456
PDAC.GemPred20.Simple	Simple	AC092687.3	1.00701200065669
PDAC.GemPred20.Simple	Simple	AC092807.4	-1.25424167571679
PDAC.GemPred20.Simple	Simple	AC092910.3	0.304768408689472
PDAC.GemPred20.Simple	Simple	AC093422.1	-0.121420118182438
PDAC.GemPred20.Simple	Simple	AC093827.3	0.347751141312775
PDAC.GemPred20.Simple	Simple	AC093833.1	-1.81704533984677
PDAC.GemPred20.Simple	Simple	AC093899.2	-0.775173935213667
PDAC.GemPred20.Simple	Simple	AC097532.3	-0.666831555036316
PDAC.GemPred20.Simple	Simple	AC097641.1	-1.01780095398093
PDAC.GemPred20.Simple	Simple	AC098484.2	-0.178898485928186
PDAC.GemPred20.Simple	Simple	AC098487.1	-1.09367040454314
PDAC.GemPred20.Simple	Simple	AC098582.1	-0.759869948486414
PDAC.GemPred20.Simple	Simple	AC099343.2	-0.232218497778131
PDAC.GemPred20.Simple	Simple	AC099789.1	-0.474554903128255
PDAC.GemPred20.Simple	Simple	AC099811.5	-0.327532266859132
