"","DE_fc_tumor_over_normal","DE_ml_normal_vs_tumor","DE_p_normal_vs_tumor","p_adjusted_bonferroni","p_adjusted_BH","p_adjusted_BY","gene_symbol"
"UBTD1",1.0214001947832,6.64814399983062,9.84339090853819e-13,1.97359987716191e-08,3.814473320723e-12,3.99879822114665e-11,"UBTD1"
"RPL13AP17",-0.0255319867886179,0.0356462017276423,0.179362452967717,1,0.218774618688571,1,"RPL13AP17"
"NEIL1",-0.325289727303523,6.61479659976287,0.0254285326358417,1,0.0354722103491704,0.371863163582218,"NEIL1"
"TAS1R1",-1.71498887195122,1.75140068597561,2.43045945681858e-18,4.87307121092125e-14,2.05441450713375e-17,2.1536889593626e-16,"TAS1R1"
"LOC254312",0.00191944444444444,0.000959722222222222,0.712794877990419,1,0.747152723949597,1,"LOC254312"
"TAS1R2",-0.00247892953929539,0.118992242547425,0.0329781490517623,1,0.0453164202924977,0.475062231710737,"TAS1R2"
"INPP5J",-1.22302627879404,8.56315515328591,1.41408053879842e-12,2.83523148029082e-08,5.38096693925e-12,5.64098873305093e-11,"INPP5J"
"ZNF542",-1.80380961212737,6.08056348661924,4.70360676537139e-16,9.43073156456965e-12,2.70066768744835e-15,2.83117071125032e-14,"ZNF542"
"SMG1",0.248812999661247,11.1943625973916,0.00027305578240637,1,0.000472860725038862,0.00495710539083575,"SMG1"
"CCL2",-0.895469131097562,7.90287519054878,0.000196899254834113,1,0.000345845822113357,0.00362557958065823,"CCL2"
"CCL3",0.907919613821139,5.90331102642276,0.000132785358097339,1,0.000237751958372177,0.00249240728214765,"CCL3"
"NFATC2",-0.844994495257453,6.21091738651762,0.00123100392675681,1,0.0019946362317338,0.020910220480399,"NFATC2"
"CCL1",0.130556808943089,0.157417428861789,0.148387242809984,1,0.183618108889723,1,"CCL1"
"NFATC4",-0.218600711382114,8.06390452235772,0.339310811361748,1,0.390516145330523,1,"NFATC4"
"CCL7",0.0136035738482385,1.87297251863144,0.519087976926358,1,0.567889667560074,1,"CCL7"
