p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.15E-25,0.286253507,0.991,0.97,3.68E-21,ifnCAF,PFN1
2.79E-25,0.350355396,0.977,0.977,4.77E-21,ifnCAF,ANXA5
3.41E-25,0.31367678,0.418,0.229,5.83E-21,ifnCAF,SMYD3
3.52E-25,0.278863198,0.672,0.47,6.01E-21,ifnCAF,TAF10
3.83E-25,0.342755245,0.532,0.342,6.55E-21,ifnCAF,ANKLE2
3.88E-25,0.284262461,0.583,0.379,6.63E-21,ifnCAF,DECR1
4.27E-25,0.259568688,0.441,0.248,7.30E-21,ifnCAF,PTPN2
5.12E-25,0.376251666,0.45,0.265,8.76E-21,ifnCAF,ZC3H12A
5.45E-25,0.412664365,0.717,0.536,9.32E-21,ifnCAF,IFITM1
6.57E-25,0.285011078,0.466,0.273,1.12E-20,ifnCAF,STMN3
9.57E-25,0.27015795,0.543,0.341,1.64E-20,ifnCAF,PSMA2
1.04E-24,0.278395306,0.968,0.928,1.78E-20,ifnCAF,SSR4
1.14E-24,0.376657825,0.988,0.975,1.95E-20,ifnCAF,DUSP1
1.20E-24,0.347723042,0.529,0.328,2.05E-20,ifnCAF,DUSP5
1.73E-24,0.515151832,0.427,0.238,2.96E-20,ifnCAF,CILP
2.12E-24,0.281884216,0.956,0.873,3.63E-20,ifnCAF,RRBP1
2.20E-24,0.255214953,0.462,0.272,3.77E-20,ifnCAF,FIBIN
3.15E-24,0.266715753,0.52,0.321,5.38E-20,ifnCAF,BTN3A2
3.31E-24,0.250788562,0.32,0.156,5.66E-20,ifnCAF,PNPT1
3.49E-24,0.321393466,0.887,0.777,5.97E-20,ifnCAF,LIMA1
3.96E-24,0.291618312,0.836,0.705,6.78E-20,ifnCAF,RPN2
4.66E-24,0.257491538,0.492,0.296,7.97E-20,ifnCAF,TP53I3
5.28E-24,0.296992043,0.337,0.169,9.02E-20,ifnCAF,EGLN3
6.13E-24,0.265840962,0.83,0.657,1.05E-19,ifnCAF,COL5A1
7.45E-24,0.285709539,0.914,0.832,1.27E-19,ifnCAF,TMEM258
7.53E-24,0.269244251,0.391,0.215,1.29E-19,ifnCAF,PARP10
9.72E-24,0.287227622,0.451,0.264,1.66E-19,ifnCAF,SRGAP1
1.61E-23,0.604425983,0.735,0.727,2.75E-19,ifnCAF,HES1
1.97E-23,0.252524275,0.579,0.379,3.37E-19,ifnCAF,GSDMD
2.01E-23,0.285727897,0.911,0.817,3.43E-19,ifnCAF,OSTC
2.43E-23,0.279384399,0.406,0.235,4.16E-19,ifnCAF,N4BP1
4.05E-23,0.297924423,0.453,0.266,6.92E-19,ifnCAF,GLIS2
4.82E-23,0.25197023,0.305,0.149,8.24E-19,ifnCAF,APOBEC3G
4.89E-23,0.261261549,0.417,0.234,8.37E-19,ifnCAF,C1QTNF6
6.39E-23,0.279014069,0.717,0.531,1.09E-18,ifnCAF,PLIN3
6.59E-23,0.267019259,0.439,0.255,1.13E-18,ifnCAF,COLGALT1
7.46E-23,0.343049183,0.967,0.951,1.28E-18,ifnCAF,HSPE1
7.66E-23,0.57897971,0.636,0.574,1.31E-18,ifnCAF,HSPA6
8.36E-23,0.289330112,0.756,0.602,1.43E-18,ifnCAF,PSMA3
1.12E-22,0.330582627,0.463,0.279,1.92E-18,ifnCAF,SPSB1
1.24E-22,0.267135729,0.559,0.366,2.11E-18,ifnCAF,TIMMDC1
1.49E-22,0.431109512,0.68,0.53,2.56E-18,ifnCAF,EGR3
1.51E-22,0.271975921,0.421,0.243,2.59E-18,ifnCAF,ZNFX1
1.61E-22,0.29061906,0.704,0.513,2.75E-18,ifnCAF,CERCAM
4.12E-22,0.333467341,0.368,0.206,7.04E-18,ifnCAF,SUSD2
5.12E-22,0.291513259,0.459,0.277,8.76E-18,ifnCAF,ATP13A3
